ID,TIME,DV,MDV,AMT,CMT,STUDY,IDD,FOOD,DOSE,PO
1,0,.,1,5,2,1,M01,0,5,0
1,0.083,2991,0,.,2,1,M01,0,5,0
1,0.25,1597,0,.,2,1,M01,0,5,0
1,0.5,816,0,.,2,1,M01,0,5,0
1,1,364,0,.,2,1,M01,0,5,0
1,2,121,0,.,2,1,M01,0,5,0
1,4,94.9,0,.,2,1,M01,0,5,0
1,6,72.1,0,.,2,1,M01,0,5,0
1,8,49.9,0,.,2,1,M01,0,5,0
1,12,30,0,.,2,1,M01,0,5,0
1,24,6.24,0,.,2,1,M01,0,5,0
2,0,.,1,5,2,1,M02,0,5,0
2,0.083,3512,0,.,2,1,M02,0,5,0
2,0.25,1799,0,.,2,1,M02,0,5,0
2,0.5,1098,0,.,2,1,M02,0,5,0
2,1,452,0,.,2,1,M02,0,5,0
2,2,158,0,.,2,1,M02,0,5,0
2,4,134,0,.,2,1,M02,0,5,0
2,6,110,0,.,2,1,M02,0,5,0
2,8,81.2,0,.,2,1,M02,0,5,0
2,12,68.1,0,.,2,1,M02,0,5,0
2,24,6.26,0,.,2,1,M02,0,5,0
3,0,.,1,5,2,1,M03,0,5,0
3,0.083,3409,0,.,2,1,M03,0,5,0
3,0.25,2023,0,.,2,1,M03,0,5,0
3,0.5,908,0,.,2,1,M03,0,5,0
3,1,366,0,.,2,1,M03,0,5,0
3,2,121,0,.,2,1,M03,0,5,0
3,4,81,0,.,2,1,M03,0,5,0
3,6,55.6,0,.,2,1,M03,0,5,0
3,8,47.4,0,.,2,1,M03,0,5,0
3,12,35,0,.,2,1,M03,0,5,0
3,24,2.66,0,.,2,1,M03,0,5,0
4,0,.,1,10,1,1,M04,1,10,1
4,0.25,104,0,.,2,1,M04,1,10,1
4,0.5,246,0,.,2,1,M04,1,10,1
4,1,1250,0,.,2,1,M04,1,10,1
4,2,310,0,.,2,1,M04,1,10,1
4,4,155,0,.,2,1,M04,1,10,1
4,6,87.9,0,.,2,1,M04,1,10,1
4,8,79.5,0,.,2,1,M04,1,10,1
4,12,40,0,.,2,1,M04,1,10,1
4,24,2.02,0,.,2,1,M04,1,10,1
5,0,.,1,10,1,1,M05,1,10,1
5,0.25,1885,0,.,2,1,M05,1,10,1
5,0.5,2509,0,.,2,1,M05,1,10,1
5,1,1209,0,.,2,1,M05,1,10,1
5,2,263,0,.,2,1,M05,1,10,1
5,4,144,0,.,2,1,M05,1,10,1
5,6,119,0,.,2,1,M05,1,10,1
5,8,75.6,0,.,2,1,M05,1,10,1
5,12,33.2,0,.,2,1,M05,1,10,1
5,24,3.1,0,.,2,1,M05,1,10,1
